context1;context2;context3;context4;context5;context6;context7;response
He took a bow.;He intoned.;“Ite missa est!”He took a bow.;Sat down.;“The point is,”he explained matter-of-factly, “little Leo Wojtys, in his gray life, experienced only onepleasure, I would say, that was perfect . . .;and that was twenty-seven years ago with that kitchen maid, from this chalet.;Twenty-seven years ago.;He intoned.
He intoned.;“Ite missa est!”He took a bow.;Sat down.;“The point is,”he explained matter-of-factly, “little Leo Wojtys, in his gray life, experienced only onepleasure, I would say, that was perfect . . .;and that was twenty-seven years ago with that kitchen maid, from this chalet.;Twenty-seven years ago.;It’s the anniversary.;“Ite missa est!”He took a bow.
“Ite missa est!”He took a bow.;Sat down.;“The point is,”he explained matter-of-factly, “little Leo Wojtys, in his gray life, experienced only onepleasure, I would say, that was perfect . . .;and that was twenty-seven years ago with that kitchen maid, from this chalet.;Twenty-seven years ago.;It’s the anniversary.;Well, not quite the anniver-sary, it’s a month and three days short.;Sat down.
Sat down.;“The point is,”he explained matter-of-factly, “little Leo Wojtys, in his gray life, experienced only onepleasure, I would say, that was perfect . . .;and that was twenty-seven years ago with that kitchen maid, from this chalet.;Twenty-seven years ago.;It’s the anniversary.;Well, not quite the anniver-sary, it’s a month and three days short.;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;“The point is,”he explained matter-of-factly, “little Leo Wojtys, in his gray life, experienced only onepleasure, I would say, that was perfect . . .
“The point is,”he explained matter-of-factly, “little Leo Wojtys, in his gray life, experienced only onepleasure, I would say, that was perfect . . .;and that was twenty-seven years ago with that kitchen maid, from this chalet.;Twenty-seven years ago.;It’s the anniversary.;Well, not quite the anniver-sary, it’s a month and three days short.;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;and that was twenty-seven years ago with that kitchen maid, from this chalet.
and that was twenty-seven years ago with that kitchen maid, from this chalet.;Twenty-seven years ago.;It’s the anniversary.;Well, not quite the anniver-sary, it’s a month and three days short.;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;twenty-seven years ago less one month and three days . .;Twenty-seven years ago.
Twenty-seven years ago.;It’s the anniversary.;Well, not quite the anniver-sary, it’s a month and three days short.;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;twenty-seven years ago less one month and three days . .;.It’s a pilgrimage.;It’s the anniversary.
It’s the anniversary.;Well, not quite the anniver-sary, it’s a month and three days short.;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;twenty-seven years ago less one month and three days . .;.It’s a pilgrimage.;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Well, not quite the anniver-sary, it’s a month and three days short.
Well, not quite the anniver-sary, it’s a month and three days short.;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;twenty-seven years ago less one month and three days . .;.It’s a pilgrimage.;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Pilgrimageberg raptureberg, ha, ha, theydon’t know!;So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.
So,”—he bent toward me,“they think that I’ve dragged them here to admire the scenery.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;twenty-seven years ago less one month and three days . .;.It’s a pilgrimage.;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Pilgrimageberg raptureberg, ha, ha, theydon’t know!;Y ou know.;I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .
I Witold Gombrowiczbrought them here on a pilgrimage to where I and the kitchenmaid . . .;twenty-seven years ago less one month and three days . .;.It’s a pilgrimage.;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Pilgrimageberg raptureberg, ha, ha, theydon’t know!;Y ou know.;”He smiled.;twenty-seven years ago less one month and three days . .
twenty-seven years ago less one month and three days . .;.It’s a pilgrimage.;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Pilgrimageberg raptureberg, ha, ha, theydon’t know!;Y ou know.;”He smiled.;“And you won’t tell!”He smiled.;.It’s a pilgrimage.
.It’s a pilgrimage.;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Pilgrimageberg raptureberg, ha, ha, theydon’t know!;Y ou know.;”He smiled.;“And you won’t tell!”He smiled.;“Do;Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!
Wife, child, son-in-law, priest, Lukies, T oleks, allof them on a pilgrimage to this rapture of mine, to the bergbergum funfunberg, and I’ll berg them at midnight all the way tothe rock where I berged with her berg bergum berg and into berg!Let them participate!;Pilgrimageberg raptureberg, ha, ha, theydon’t know!;Y ou know.;”He smiled.;“And you won’t tell!”He smiled.;“Do;you bemberg?;Pilgrimageberg raptureberg, ha, ha, theydon’t know!
Pilgrimageberg raptureberg, ha, ha, theydon’t know!;Y ou know.;”He smiled.;“And you won’t tell!”He smiled.;“Do;you bemberg?;I too bemberg.;Y ou know.
Y ou know.;”He smiled.;“And you won’t tell!”He smiled.;“Do;you bemberg?;I too bemberg.;We’ll bemberg together!”He smiled.“Go;”He smiled.
”He smiled.;“And you won’t tell!”He smiled.;“Do;you bemberg?;I too bemberg.;We’ll bemberg together!”He smiled.“Go;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;“And you won’t tell!”He smiled.
“And you won’t tell!”He smiled.;“Do;you bemberg?;I too bemberg.;We’ll bemberg together!”He smiled.“Go;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;go, sir!;“Do
“Do;you bemberg?;I too bemberg.;We’ll bemberg together!”He smiled.“Go;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;go, sir!;A rivederci!”;you bemberg?
you bemberg?;I too bemberg.;We’ll bemberg together!”He smiled.“Go;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;go, sir!;A rivederci!”;The meadow, trees, mountains, the sky with the sinking sun.;I too bemberg.
I too bemberg.;We’ll bemberg together!”He smiled.“Go;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;go, sir!;A rivederci!”;The meadow, trees, mountains, the sky with the sinking sun.;“And don’t think, sir, that I have a screw loose . . .;We’ll bemberg together!”He smiled.“Go
We’ll bemberg together!”He smiled.“Go;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;go, sir!;A rivederci!”;The meadow, trees, mountains, the sky with the sinking sun.;“And don’t think, sir, that I have a screw loose . . .;I’m playing acrazy man to make it easier . . .;now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .
now, go sir, I must be alone to prepare myself for this holymass of mine with pious concentration, in solemn recollectionand re-creation, a solemn day, a solemn day, hey, the highest sol-emn day, leave me so that I can purify and prepare myself, by fast-ing and prayer, for the divine service of my rapture, for the holyfun of my life on that memorable day . . .;go, sir!;A rivederci!”;The meadow, trees, mountains, the sky with the sinking sun.;“And don’t think, sir, that I have a screw loose . . .;I’m playing acrazy man to make it easier . . .;But in truth I am a monk and abishop.;go, sir!
go, sir!;A rivederci!”;The meadow, trees, mountains, the sky with the sinking sun.;“And don’t think, sir, that I have a screw loose . . .;I’m playing acrazy man to make it easier . . .;But in truth I am a monk and abishop.;What time is it?”“It’s after six.;A rivederci!”
A rivederci!”;The meadow, trees, mountains, the sky with the sinking sun.;“And don’t think, sir, that I have a screw loose . . .;I’m playing acrazy man to make it easier . . .;But in truth I am a monk and abishop.;What time is it?”“It’s after six.;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;The meadow, trees, mountains, the sky with the sinking sun.
The meadow, trees, mountains, the sky with the sinking sun.;“And don’t think, sir, that I have a screw loose . . .;I’m playing acrazy man to make it easier . . .;But in truth I am a monk and abishop.;What time is it?”“It’s after six.;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;.Cosmos;“And don’t think, sir, that I have a screw loose . . .
“And don’t think, sir, that I have a screw loose . . .;I’m playing acrazy man to make it easier . . .;But in truth I am a monk and abishop.;What time is it?”“It’s after six.;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;.Cosmos;they unite . . .;I’m playing acrazy man to make it easier . . .
I’m playing acrazy man to make it easier . . .;But in truth I am a monk and abishop.;What time is it?”“It’s after six.;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;.Cosmos;they unite . . .;randomly, as often as not . . .;But in truth I am a monk and abishop.
But in truth I am a monk and abishop.;What time is it?”“It’s after six.;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;.Cosmos;they unite . . .;randomly, as often as not . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;What time is it?”“It’s after six.
What time is it?”“It’s after six.;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;.Cosmos;they unite . . .;randomly, as often as not . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;.perhaps . . .;”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .
”Of course the “spitting into”was a coincidence, he couldn’thave known that Lena’s mouth was within me, he didn’t know, butnonetheless it’s interesting, the way coincidences happen moreoften than one would expect, stickiness, the way one thing sticksto another, events, phenomena, they are like those magnetizedballs, they search for one another, and when they’re close, pam . .;.Cosmos;they unite . . .;randomly, as often as not . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;.perhaps . . .;yes, he’s the one . . .;.Cosmos
.Cosmos;they unite . . .;randomly, as often as not . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;.perhaps . . .;yes, he’s the one . . .;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;they unite . . .
they unite . . .;randomly, as often as not . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;.perhaps . . .;yes, he’s the one . . .;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;with equal power, not weakened in the least, O God, isthere nothing one can do?;randomly, as often as not . . .
randomly, as often as not . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;.perhaps . . .;yes, he’s the one . . .;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;with equal power, not weakened in the least, O God, isthere nothing one can do?;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .
yet, that he had dis-covered my desire for Lena, well, no wonder, he is no mean expert,but did he hang the sparrow, was the little a ﬀair with the arrow, the stick, and perhaps the whiﬄetree, were they his doing? . .;.perhaps . . .;yes, he’s the one . . .;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;with equal power, not weakened in the least, O God, isthere nothing one can do?;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;.perhaps . . .
.perhaps . . .;yes, he’s the one . . .;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;with equal power, not weakened in the least, O God, isthere nothing one can do?;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;yes, he’s the one . . .
yes, he’s the one . . .;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;with equal power, not weakened in the least, O God, isthere nothing one can do?;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;.”could;it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .
it’s interesting, extremely inter-esting, whether it was he, or not he, it’s all the same now, it changesnothing one way or the other, the sparrow and the stick arethere . . .;with equal power, not weakened in the least, O God, isthere nothing one can do?;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;.”could;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;with equal power, not weakened in the least, O God, isthere nothing one can do?
with equal power, not weakened in the least, O God, isthere nothing one can do?;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;.”could;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;The earth.;It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .
It’s interesting, however, extremely in-teresting, this coincidental connection we share, this strange mesh-ing together, sometimes almost unequivocal, for example that hetoo . . .;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;.”could;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;The earth.;Clods ofdirt.;admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .
admires trivia, his little aﬀairs seem to dovetail with myown, in that case do we have something in common—but what?—is he somehow accompanying me, pushing me, even abductingme . . .;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;.”could;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;The earth.;Clods ofdirt.;Pebbles.;At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .
At times I have the clear impression that I’m collaboratingwith him, as in a diﬃcult childbirth—as if we were giving birthto something—wait, wait, but, on the other hand (on the third?how many hands?) let’s not forget that “selfness,”or “go to yourown for your own self . .;.”could;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;The earth.;Clods ofdirt.;Pebbles.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;.”could
.”could;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;The earth.;Clods ofdirt.;Pebbles.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.
the key to the puzzle be righthere, the key to what is churning, brewing here, oh, this “gratifyyourself with yourself”is rising from him like a wave, and fromthe priest and from the T oleks—and there is something terriblyexhausting about it—and this something is coming toward melike a forest, yes, a forest, we say a “forest,”but what does thatmean, how many tiny details, triﬂes, particles make up a small leafof a single tree, we say “forest”but this word is made of the un-known, the unfamiliar, the unencompassed.;The earth.;Clods ofdirt.;Pebbles.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;I saton the stump as if on a suitcase, waiting for a train.;The earth.
The earth.;Clods ofdirt.;Pebbles.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;I saton the stump as if on a suitcase, waiting for a train.;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;Clods ofdirt.
Clods ofdirt.;Pebbles.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;I saton the stump as if on a suitcase, waiting for a train.;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;”I rose.;Pebbles.
Pebbles.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;I saton the stump as if on a suitcase, waiting for a train.;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;”I rose.;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that
On a clear day you rest among ordinary, everydaythings that have been familiar to you since childhood, grass, bushes,a dog (or a cat), a chair, but that changes when you realize that;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;I saton the stump as if on a suitcase, waiting for a train.;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;”I rose.;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;“T onight is the bem-bergum, celebrated secretly!;Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.
Witold Gombrowiczevery object is an enormous army, an inexhaustible swarm.;I saton the stump as if on a suitcase, waiting for a train.;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;”I rose.;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;“T onight is the bem-bergum, celebrated secretly!;Views!;I saton the stump as if on a suitcase, waiting for a train.
I saton the stump as if on a suitcase, waiting for a train.;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;”I rose.;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;“T onight is the bem-bergum, celebrated secretly!;Views!;What views!;“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.
“T onight is the pilgrimage to the place of this highest and onlyrapture of mine, twenty-seven years ago, less one month and fourdays.;”I rose.;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;“T onight is the bem-bergum, celebrated secretly!;Views!;What views!;Y ou are all here tocelebrate the celebration of this my Great Turn-On with thekitchen maid, the one I told you about, with the kitchen maid,from the chalet . . .;”I rose.
”I rose.;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;“T onight is the bem-bergum, celebrated secretly!;Views!;What views!;Y ou are all here tocelebrate the celebration of this my Great Turn-On with thekitchen maid, the one I told you about, with the kitchen maid,from the chalet . . .;”he was shouting, I was walking away, themeadow, trees, mountains, shadows like vultures . .;Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.
Yet he obviously didn’t want to let me go without giv-ing me the details, and so he was rushing on.;“T onight is the bem-bergum, celebrated secretly!;Views!;What views!;Y ou are all here tocelebrate the celebration of this my Great Turn-On with thekitchen maid, the one I told you about, with the kitchen maid,from the chalet . . .;”he was shouting, I was walking away, themeadow, trees, mountains, shadows like vultures . .;.I walked, the aromatic grasses, yellowing, reddening with littleblooms, the scent, the scent that was and was not like the scent atthat time there the little garden the wall Fuks;“T onight is the bem-bergum, celebrated secretly!
